instrumento;cantidad;precio;moneda;total
FCI COCOS RET. TOTAL III  CL. A $ ESC (COCOSPPA);173215,56;1300,97;ARS;225348,59
CEDEAR ROBLOX CORP. (RBLX);13;41320;ARS;537160
CEDEAR INTEL CORPORATION (INTC);41;13430;ARS;550630
BONOS DEL TESORO BONCER 2.25% $ 2028 (TX28);39757;1790;ARS;711650,3
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);903;86680;ARS;782720,4
BONOS REP. ARG. U$S STEP UP V.09/07/35 (GD35);873;110800;ARS;967284
CEDEAR AMAZON.COM, INC (AMZN);460;2124;ARS;977040
TRANSENER S.A. ESCRIT.  B  1 VOTO (TRAN);237;4220;ARS;1000140
CEDEAR ISHARES BITCOIN TR (IBIT) (IBIT);181;5910;ARS;1069710
CEDEAR RIGETTI COMPUTING (RGTI) (RGTI);99;11860;ARS;1174140
CEDEAR ENERGY SELECT SECTOR SPDR FUND (XLE);28;42400;ARS;1187200
CEDEAR BROADCOM INC. (AVGO);100;12150;ARS;1215000
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);120;10150;ARS;1218000
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);50;31860;ARS;1593000
AUTOPISTAS DEL SOL S.A. ACCS ORD D 1 V (AUSO);581;3725;ARS;2164225
CEDEAR MERCADOLIBRE INC. (MELI);116;20400;ARS;2366400
CEDEAR MICROSTRATEGY INC (MSTR);236;10270;ARS;2423720
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);1093;4497,5;ARS;4915767,5
BONO REP. ARGENTINA USD STEP UP 2038 (AE38);5112;111010;ARS;5674831,2
FCI COCOS DOLARES PLUS CL.A UDS ESC (COCOUSDPA);28858,94;1052,71;USD;30380,21
ARS;0,48;1;ARS;0,48
EXT;33,07;1;EXT;33,07
USD;-5,64;1;USD;-5,64
