cer.id,cer.fecha,cer.coef
1,2003-01-01,1.4055
2,2003-01-02,1.4058
3,2003-01-03,1.406
4,2003-01-04,1.4062
5,2003-01-05,1.4064
6,2003-01-06,1.4067
7,2003-01-07,1.4068
8,2003-01-08,1.4069
9,2003-01-09,1.4069
10,2003-01-10,1.407
11,2003-01-11,1.4071
12,2003-01-12,1.4072
13,2003-01-13,1.4073
14,2003-01-14,1.4074
15,2003-01-15,1.4075
16,2003-01-16,1.4075
17,2003-01-17,1.4076
18,2003-01-18,1.4077
19,2003-01-19,1.4078
20,2003-01-20,1.4079
21,2003-01-21,1.408
22,2003-01-22,1.4081
23,2003-01-23,1.4081
24,2003-01-24,1.4082
25,2003-01-25,1.4083
26,2003-01-26,1.4084
27,2003-01-27,1.4085
28,2003-01-28,1.4086
29,2003-01-29,1.4087
30,2003-01-30,1.4087
31,2003-01-31,1.4088
32,2003-02-01,1.4089
33,2003-02-02,1.409
34,2003-02-03,1.4091
35,2003-02-04,1.4092
36,2003-02-05,1.4093
37,2003-02-06,1.4094
38,2003-02-07,1.4101
39,2003-02-08,1.4107
40,2003-02-09,1.4114
41,2003-02-10,1.412
42,2003-02-11,1.4127
43,2003-02-12,1.4134
44,2003-02-13,1.414
45,2003-02-14,1.4147
46,2003-02-15,1.4153
47,2003-02-16,1.416
48,2003-02-17,1.4167
49,2003-02-18,1.4173
50,2003-02-19,1.418
51,2003-02-20,1.4186
52,2003-02-21,1.4193
53,2003-02-22,1.42
54,2003-02-23,1.4206
55,2003-02-24,1.4213
56,2003-02-25,1.422
57,2003-02-26,1.4226
58,2003-02-27,1.4233
59,2003-02-28,1.4239
60,2003-03-01,1.4246
61,2003-03-02,1.4252
62,2003-03-03,1.4258
63,2003-03-04,1.4264
64,2003-03-05,1.427
65,2003-03-06,1.4276
66,2003-03-07,1.4278
67,2003-03-08,1.4281
68,2003-03-09,1.4283
69,2003-03-10,1.4286
70,2003-03-11,1.4289
71,2003-03-12,1.4291
72,2003-03-13,1.4294
73,2003-03-14,1.4296
74,2003-03-15,1.4299
75,2003-03-16,1.4302
76,2003-03-17,1.4304
77,2003-03-18,1.4307
78,2003-03-19,1.4309
79,2003-03-20,1.4312
80,2003-03-21,1.4315
81,2003-03-22,1.4317
82,2003-03-23,1.432
83,2003-03-24,1.4322
84,2003-03-25,1.4325
85,2003-03-26,1.4328
86,2003-03-27,1.433
87,2003-03-28,1.4333
88,2003-03-29,1.4336
89,2003-03-30,1.4338
90,2003-03-31,1.4341
91,2003-04-01,1.4343
92,2003-04-02,1.4346
93,2003-04-03,1.4349
94,2003-04-04,1.4352
95,2003-04-05,1.4354
96,2003-04-06,1.4357
97,2003-04-07,1.436
98,2003-04-08,1.4363
99,2003-04-09,1.4365
100,2003-04-10,1.4368
101,2003-04-11,1.4371
102,2003-04-12,1.4374
103,2003-04-13,1.4377
104,2003-04-14,1.4379
105,2003-04-15,1.4382
106,2003-04-16,1.4385
107,2003-04-17,1.4388
108,2003-04-18,1.4391
109,2003-04-19,1.4393
110,2003-04-20,1.4396
111,2003-04-21,1.4399
112,2003-04-22,1.4402
113,2003-04-23,1.4405
114,2003-04-24,1.4407
115,2003-04-25,1.441
116,2003-04-26,1.4413
117,2003-04-27,1.4416
118,2003-04-28,1.4419
119,2003-04-29,1.4421
120,2003-04-30,1.4424
121,2003-05-01,1.4427
122,2003-05-02,1.443
123,2003-05-03,1.4432
124,2003-05-04,1.4435
125,2003-05-05,1.4438
126,2003-05-06,1.444
127,2003-05-07,1.4441
128,2003-05-08,1.4441
129,2003-05-09,1.4441
130,2003-05-10,1.4442
131,2003-05-11,1.4442
132,2003-05-12,1.4442
133,2003-05-13,1.4442
134,2003-05-14,1.4443
135,2003-05-15,1.4443
136,2003-05-16,1.4443
137,2003-05-17,1.4443
138,2003-05-18,1.4444
139,2003-05-19,1.4444
140,2003-05-20,1.4444
141,2003-05-21,1.4444
142,2003-05-22,1.4445
143,2003-05-23,1.4445
144,2003-05-24,1.4445
145,2003-05-25,1.4445
146,2003-05-26,1.4446
147,2003-05-27,1.4446
148,2003-05-28,1.4446
149,2003-05-29,1.4447
150,2003-05-30,1.4447
151,2003-05-31,1.4447
152,2003-06-01,1.4447
153,2003-06-02,1.4448
154,2003-06-03,1.4448
155,2003-06-04,1.4448
156,2003-06-05,1.4448
157,2003-06-06,1.4449
158,2003-06-07,1.4447
159,2003-06-08,1.4445
160,2003-06-09,1.4443
161,2003-06-10,1.4441
162,2003-06-11,1.4439
163,2003-06-12,1.4437
164,2003-06-13,1.4436
165,2003-06-14,1.4434
166,2003-06-15,1.4432
167,2003-06-16,1.443
168,2003-06-17,1.4428
169,2003-06-18,1.4426
170,2003-06-19,1.4424
171,2003-06-20,1.4422
172,2003-06-21,1.4421
173,2003-06-22,1.4419
174,2003-06-23,1.4417
175,2003-06-24,1.4415
176,2003-06-25,1.4413
177,2003-06-26,1.4411
178,2003-06-27,1.4409
179,2003-06-28,1.4407
180,2003-06-29,1.4405
181,2003-06-30,1.4404
182,2003-07-01,1.4402
183,2003-07-02,1.44
184,2003-07-03,1.4398
185,2003-07-04,1.4396
186,2003-07-05,1.4395
187,2003-07-06,1.4393
