inflacion.id,inflacion.cod_mes,inflacion.porcentaje
1,201001,2.5
2,201002,2.5
3,201003,2.5
4,201004,2.5
5,201005,2.5
6,201006,2.5
7,201007,2.5
8,201008,2.5
9,201009,2.5
10,201010,2.5
11,201011,2.5
12,201012,2.5
13,201101,2.5
14,201102,2.5
15,201103,2.5
16,201104,2.5
17,201105,2.5
18,201106,2.5
19,201107,2.5
20,201108,2.5
21,201109,2.5
22,201110,2.5
23,201111,2.5
24,201112,2.5
25,201201,2.5
26,201202,2.5
27,201203,2.5
28,201204,2.5
29,201205,2.5
30,201206,2.5
31,201207,2.5
32,201208,2.5
33,201209,2.5
34,201210,2.5
35,201211,2.5
36,201212,2.5
37,201301,2.5
38,201302,2.5
39,201303,2.5
40,201304,2.5
41,201305,2.5
42,201306,2.5
43,201307,2.5
44,201308,2.5
45,201309,2.5
46,201310,2.5
47,201311,2.5
48,201312,2.5
49,201401,2.5
50,201402,2.5
51,201403,2.5
52,201404,2.5
53,201405,2.5
54,201406,2.5
55,201407,2.5
56,201408,2.5
57,201409,2.5
58,201410,2.5
59,201411,2.5
60,201412,2.5
61,201501,2.5
62,201502,2.5
63,201503,2.5
64,201504,2.5
65,201505,2.5
66,201506,2.5
67,201507,2.5
68,201508,2.5
69,201509,2.5
70,201510,2.5
71,201511,2.5
72,201512,2.5
73,201601,2.5
74,201602,2.5
75,201603,2.5
76,201604,2.5
77,201605,2.5
78,201606,2.5
79,201607,2.5
80,201608,2.5
81,201609,2.5
82,201610,2.5
83,201611,2.5
84,201612,2.5
85,201701,1.66
86,201702,1.66
87,201703,1.66
88,201704,1.66
89,201705,1.66
90,201706,1.66
91,201707,1.66
92,201708,1.66
93,201709,1.66
94,201710,1.66
95,201711,1.66
96,201712,1.66
