objetivos_estat.id,objetivos_estat.sucursal,objetivos_estat.obj_year,objetivos_estat.obj_mes,objetivos_estat.obj_monto,objetivos_estat.obj_pares,objetivos_estat.obj_dias,objetivos_estat.obj_ppd,objetivos_estat.obj_mnt
1,0,2017,5,2821797.95041,4928.0,25,193.254901961,110658.743153
2,1,2017,5,419418.61157,451.0,25,17.6862745098,16447.788689
3,2,2017,5,344933.371901,872.0,25,34.1960784314,13526.7988981
4,4,2017,5,226383.85124,939.0,25,36.8235294118,8877.79808783
5,6,2017,5,1033057.85124,1971.0,25,77.2941176471,40512.0725976
6,0,2017,7,2621088.1405,4260.0,24,173.87755102,106983.189408
7,1,2017,7,330331.578512,391.0,24,15.9591836735,13482.9215719
8,2,2017,7,314716.033058,747.0,24,30.4897959184,12845.5523697
9,4,2017,7,298129.900826,1063.0,24,43.387755102,12168.5673807
10,6,2017,7,1363636.36364,2339.0,24,95.4693877551,55658.6270872
11,0,2017,8,2576203.59504,4648.0,25,182.274509804,101027.591962
12,1,2017,8,387395.413223,479.0,25,18.7843137255,15191.9769891
13,2,2017,8,289621.520661,774.0,25,30.3529411765,11357.7066926
14,4,2017,8,314741.545455,1059.0,25,41.5294117647,12342.8057041
15,6,2017,8,0.0,0.0,25,0.0,0.0
