Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
zapatillas-jaguar-4315-gris-negro-aqua-19se6;Zapatillas Jaguar 4315 Gris/Negro/Aqua;MUJER > CALZADO > Zapatillas Deportivas, MUJER > DEPORTES > Training, MARCAS > JAGUAR;Color;Gris;Talle;35;;;56,999.00;;0.80;0.00;0.00;0.00;1;770043151335;;SI;NO;"<p><span style=""color: rgba(0, 0, 0, 0.55); font-family: 'Proxima Nova', -apple-system, Roboto, Arial, sans-serif; font-size: 20px; white-space-collapse: preserve-breaks; background-color: #ffffff;"">Descubr&iacute; las Zapatillas Deportivas de Mujer modelo 4315 de Jaguar. Un calzado urbano que combina un dise&ntilde;o moderno con la m&aacute;xima comodidad. Son incre&iacute;blemente livianas, perfectas para tu rutina diaria, caminar o para ir al gimnasio. &iexcl;El estilo y el confort que busc&aacute;s en un solo par! CARACTER&Iacute;STICAS PRINCIPALES: Marca: Jaguar Modelo: 4315 Material Exterior: Textil y Sint&eacute;tico Suela: Goma EVA Ultra Liviana y Antideslizante Tipo de calzado: Zapatilla Deportiva / Urbana / Running Ajuste: Cordones Estilo: Urbano / Deportivo / Moda Temporada: Todas las temporadas BENEFICIOS QUE MARCAN LA DIFERENCIA: DISE&Ntilde;O ULTRA LIVIANO: Su construcci&oacute;n s&uacute;per ligera es su gran ventaja. Son tan livianas que te olvidar&aacute;s que las llev&aacute;s puestas, reduciendo el cansancio y brind&aacute;ndote confort durante todo el d&iacute;a. ESTILO MODERNO Y VERS&Aacute;TIL: Con su dise&ntilde;o de inspiraci&oacute;n retro-running y su suela robusta, son pura tendencia. Combinan perfecto con jeans, calzas o tu look deportivo, d&aacute;ndole un toque canchero a cualquier outfit. COMODIDAD EN CADA PISADA: Su suela de Goma EVA absorbe el impacto al caminar, ofreciendo una excelente amortiguaci&oacute;n y confort para que las uses durante horas sin parar. AJUSTE CL&Aacute;SICO Y SEGURO: El sistema de ajuste con cordones te permite adaptar la zapatilla perfectamente a tu pie, asegurando una sujeci&oacute;n firme y segura en cada movimiento.</span></p>";jaguar, mujer, urbanas, zapatillas, zapatillas urbanas;;;Jaguar;SI;;;;0.00
zapatillas-jaguar-4315-gris-negro-aqua-19se6;;;Color;Gris;Talle;36;;;56,999.00;;0.80;0.00;0.00;0.00;1;770043151336;;;;;;;;;;;;;0.00
zapatillas-jaguar-4315-gris-negro-aqua-19se6;;;Color;Gris;Talle;37;;;56,999.00;;0.80;0.00;0.00;0.00;1;770043151337;;;;;;;;;;;;;0.00
zapatillas-jaguar-4315-gris-negro-aqua-19se6;;;Color;Gris;Talle;38;;;56,999.00;;0.80;0.00;0.00;0.00;1;770043151338;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-negro-w-caldrone-negro-nsu30;Zapatillas Urbanas Vans Negro W Caldrone Negro;HOMBRE > CALZADO > Zapatillas Urbanas;Color;Negro;Talle;40;;;194,999.00;;1.00;0.00;0.00;0.00;1;264319340040;;SI;NO;"<p>La zapatilla VANS original Caldrone color negro fusiona el estilo skate de los a&ntilde;os 90 con una silueta contempor&aacute;nea que combina nostalgia y funcionalidad. Confeccionada en mesh y gamuza, presenta una parte superior de paneles m&uacute;ltiples y la ic&oacute;nica Sidestripe en gran tama&ntilde;o color blanco. Su sistema de ajuste con cordones asegura un calce firme, mientras que la unidad inferior vulcanizada progresiva y el acolchado exagerado en cuello y leng&uuml;eta brindan soporte y comodidad. Un modelo resistente y con actitud, ideal para destacar en cualquier entorno urbano.</p>";hombre, urbanas, vans, zapatillas, zapatillas urbanas;;;Vans;SI;;;;0.00
zapatillas-urbanas-vans-negro-w-caldrone-negro-nsu30;;;Color;Negro;Talle;41;;;194,999.00;;1.00;0.00;0.00;0.00;1;264319340041;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-negro-w-caldrone-negro-nsu30;;;Color;Negro;Talle;42;;;194,999.00;;1.00;0.00;0.00;0.00;1;264319340042;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-negro-w-caldrone-negro-nsu30;;;Color;Negro;Talle;43;;;194,999.00;;1.00;0.00;0.00;0.00;1;264319340043;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-m-brooklyn-ls-negro-1hom0;Zapatillas Urbanas Vans M Brooklyn LS Negro;MUJER > CALZADO > Zapatillas Urbanas;Color;Negro;Talle;36;;;159,999.00;;1.00;0.00;0.00;0.00;1;264989660036;;SI;NO;"<p>Zapatilla VANS original Brooklyn LS color negro. Modelo de ca&ntilde;a baja con capellada confeccionada en materiales resistentes que aseguran durabilidad en el uso diario. Presenta ajuste regular y cierre con cordones para un calce firme y c&oacute;modo. Suela de goma antideslizante que brinda buena tracci&oacute;n y estabilidad en distintas superficies. Incorpora logotipo Vans como detalle cl&aacute;sico que refuerza su identidad urbana y vers&aacute;til.</p>";mujer, urbanas, vans, zapatillas urbanas;;;Vans;SI;;;;0.00
zapatillas-urbanas-vans-m-brooklyn-ls-negro-1hom0;;;Color;Negro;Talle;37;;;159,999.00;;1.00;0.00;0.00;0.00;1;264989660037;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-m-brooklyn-ls-negro-1hom0;;;Color;Negro;Talle;38;;;159,999.00;;1.00;0.00;0.00;0.00;1;264989660038;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-m-brooklyn-ls-negro-1hom0;;;Color;Negro;Talle;39;;;159,999.00;;1.00;0.00;0.00;0.00;1;264989660039;;;;;;;;;;;;;0.00
zapatillas-urbanas-vans-m-brooklyn-ls-negro-1hom0;;;Color;Negro;Talle;40;;;159,999.00;;1.00;0.00;0.00;0.00;1;264989660040;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4306-beige;Zapatillas Urbanas Jaguar 4306 Beige;MUJER > CALZADO > Zapatillas Urbanas, MUJER > CALZADO > Zapatillas Deportivas, MUJER > DEPORTES > Running, DEPORTES > RUNNING;Color;Beige;Talle;35;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043062735;;SI;NO;"<p><span style=""color: rgba(0, 0, 0, 0.55); font-family: 'Proxima Nova', -apple-system, Roboto, Arial, sans-serif; font-size: 20px; white-space-collapse: preserve-breaks; background-color: #ffffff;"">Para los corredores urbanos, Jaguar presenta la linea Energy , las primeras zapatillas de running con una suela inteligente, que brinda mayor amortizaci&oacute;n. Adem&aacute;s de ser livianas y duraderas, otorgan una sensaci&oacute;n agradable a la pisada, que deja con ganas de sumar m&aacute;s y m&aacute;s kil&oacute;metros.</span></p>";jaguar, mujer, zapatillas, zapatillas urbanas;;;Jaguar;SI;;;;
zapatillas-urbanas-jaguar-4306-beige;;;Color;Beige;Talle;36;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043062736;;;;;;;;;;;;;
zapatillas-urbanas-jaguar-4306-beige;;;Color;Beige;Talle;37;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043062737;;;;;;;;;;;;;
zapatillas-urbanas-jaguar-4306-beige;;;Color;Beige;Talle;38;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043062738;;;;;;;;;;;;;
zapatillas-urbanas-jaguar-4306-beige;;;Color;Beige;Talle;39;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043062739;;;;;;;;;;;;;
zapatillas-urbanas-jaguar-4306-beige;;;Color;Beige;Talle;40;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043062740;;;;;;;;;;;;;
zapatillas-urbanas-jaguar-4306-beige-1dg2q;Zapatillas Urbanas Jaguar 4306 Beige/Lila;MUJER > CALZADO > Zapatillas Urbanas, MUJER > CALZADO > Zapatillas Deportivas, MUJER > DEPORTES > Running, DEPORTES > RUNNING;Color;Beige;Talle;35;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043061535;;SI;NO;"<p><span style=""color: rgba(0, 0, 0, 0.55); font-family: 'Proxima Nova', -apple-system, Roboto, Arial, sans-serif; font-size: 20px; white-space-collapse: preserve-breaks; background-color: #ffffff;"">Para los corredores urbanos, Jaguar presenta la linea Energy , las primeras zapatillas de running con una suela inteligente, que brinda mayor amortizaci&oacute;n. Adem&aacute;s de ser livianas y duraderas, otorgan una sensaci&oacute;n agradable a la pisada, que deja con ganas de sumar m&aacute;s y m&aacute;s kil&oacute;metros.</span></p>";jaguar, mujer, zapatillas, zapatillas urbanas;;;Jaguar;SI;;;;0.00
zapatillas-urbanas-jaguar-4306-beige-1dg2q;;;Color;Beige;Talle;36;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043061536;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4306-beige-1dg2q;;;Color;Beige;Talle;37;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043061537;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4306-beige-1dg2q;;;Color;Beige;Talle;38;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043061538;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4306-beige-1dg2q;;;Color;Beige;Talle;39;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043061539;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4306-beige-1dg2q;;;Color;Beige;Talle;40;;;63,999.00;;0.80;0.00;0.00;0.00;1;770043061540;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4328-negro-blanco-fl93b;Zapatillas Urbanas Jaguar 4328 Negro/Blanco;MUJER > CALZADO > Zapatillas Urbanas, MARCAS > JAGUAR;Color;Negro;Talle;37;;;64,999.00;;0.80;0.00;0.00;0.00;1;;;SI;NO;"<p><span style=""color: rgba(0, 0, 0, 0.55); font-family: 'Proxima Nova', -apple-system, Roboto, Arial, sans-serif; font-size: 20px; white-space-collapse: preserve-breaks; background-color: #ffffff;"">Las Zapatillas Jaguar Urbana son la elecci&oacute;n perfecta para la mujer moderna que busca comodidad y estilo en su d&iacute;a a d&iacute;a. Con un dise&ntilde;o vers&aacute;til, estas zapatillas se adaptan a cualquier actividad, desde un paseo por la ciudad hasta una sesi&oacute;n de ejercicio. Su exterior de cuero sint&eacute;tico no solo proporciona un aspecto elegante, sino que tambi&eacute;n garantiza durabilidad y f&aacute;cil mantenimiento. El interior cuenta con una tala deportiva que ofrece un ajuste c&oacute;modo y soporte adecuado para tus pies. La suela de goma anti deslizante ultra liviana asegura una pisada segura en diversas superficies, permiti&eacute;ndote moverte con confianza. Disponibles en tallas del 35 al 40, estas zapatillas se ajustan a diferentes tipos de pie, gracias a su ancho est&aacute;ndar y sistema de cordones. Ya sea que las uses para un look casual o para actividades m&aacute;s din&aacute;micas, las Zapatillas Jaguar Urbana son una opci&oacute;n que combina funcionalidad y moda. No te pierdas la oportunidad de a&ntilde;adir este calzado esencial a tu colecci&oacute;n y disfrutar de la libertad de movimiento que te ofrecen.</span></p>";;;;;SI;;;;0.00
zapatillas-urbanas-jaguar-4328-negro-blanco-fl93b;;;Color;Negro;Talle;38;;;64,999.00;;0.80;0.00;0.00;0.00;1;;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4328-negro-blanco-fl93b;;;Color;Negro;Talle;39;;;64,999.00;;0.80;0.00;0.00;0.00;1;;;;;;;;;;;;;;0.00
zapatillas-urbanas-jaguar-4328-negro-blanco-fl93b;;;Color;Negro;Talle;40;;;64,999.00;;0.80;0.00;0.00;0.00;1;;;;;;;;;;;;;;0.00
bota-paradoja-c-costuras-6000-negro-15526;Bota Paradoja C/Costuras 6000 Negro;MUJER > CALZADO > Botas;Color;Negro;Talle;36;;;62,999.00;;1.10;0.00;0.00;0.00;1;999060000036;;SI;NO;"<p><strong data-path-to-node=""2,0"" data-index-in-node=""0"">Bota Paradoja con Costuras 6000 - Negro</strong> Un dise&ntilde;o con much&iacute;sima personalidad para pisar fuerte. Esta bota destaca por su acabado sutilmente texturizado y el detalle de costuras marcadas, aport&aacute;ndole un toque original y moderno a un dise&ntilde;o cl&aacute;sico. Su taco cuadrado y robusto te asegura toda la estabilidad y comodidad que necesit&aacute;s para estar en movimiento durante todo el d&iacute;a. Una opci&oacute;n s&uacute;per vers&aacute;til que no puede faltar en Calzalindo.</p>";botas, negro, paradoja, taco;;;Paradoja;SI;;;;0.00
bota-paradoja-c-costuras-6000-negro-15526;;;Color;Negro;Talle;37;;;62,999.00;;1.10;0.00;0.00;0.00;1;999060000037;;;;;;;;;;;;;0.00
bota-paradoja-c-costuras-6000-negro-15526;;;Color;Negro;Talle;38;;;62,999.00;;1.10;0.00;0.00;0.00;1;999060000038;;;;;;;;;;;;;0.00
bota-paradoja-c-costuras-6000-negro-15526;;;Color;Negro;Talle;39;;;62,999.00;;1.10;0.00;0.00;0.00;1;999060000039;;;;;;;;;;;;;0.00
